SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,= 128,= 4096,2096,86941,151084,213653,2096,0,41847,89680,43118.6764

 bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096,1567,7226,97081,148046,4096,0,44217,112336,962541.7701

 bmuta,= 128,= 4096,4057,4946,137439,235779,4096,0,64824,196155,589558.9792

 bmuta,= 128,= 4096, bmuta,= 128,= 4096, bmuta,= 128,= 4096,2090,7226,105024,148081,4096,0,44217,112336,31917.8046

 bmuta,= 128,= 4096,2090,7226,105024,148081,4096,0,44217,112336,38329.4457

 liam,= 128,= 4096,4096,58,96160,199127,4096,58,96160,199127,34913.0238

 bmuta,= 32,= 64,64,358924,363525,368133,64,6489,134791,316514,14024.4899

 bmuta,= 32,= 128,128,358614,368076,377306,128,3092,163571,321424,16426.9053

 bmuta,= 32,= 256,253,358841,374990,388560,256,1,171699,340757,12636.081

 bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,85940.9509

 bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,72930.4675

 bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,80558.9164

 bmuta,= 32,= 256, bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,114489.1339

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, liam,= 32,= 256,256,2923,224697,450759,256,2923,224697,450759,12589.2807

 bmuta,= 32,= 256, bmuta,= 32,= 256,255,102011,235861,373106,256,1,189817,380758,53024.7399

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 32,32,359015,361929,364566,32,19880,150559,293832,41121.8636

 bmuta,= 16,= 128,120,81942,436718,729601,121,3710,417547,727248,51839.1323

